area_type,availability,location,size,hall_present,bath,balcony,total_sqft,price
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1,3,2,1650,122
Built-up  Area,Ready To Move,Electronic City,3,1,2,1,880,18
Built-up  Area,Ready To Move,Bikasipura,4,1,4,2,4200,255
Plot  Area,Ready To Move,Tippenahalli,2,1,2,0,1200,55
Plot  Area,Ready To Move,Sarjapur  Road,4,1,4,1,1152,230
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,1,2,1,1005,42
Super built-up  Area,20-Dec,Whitefield,3,1,3,2,1562,103
Built-up  Area,Ready To Move,Devanahalli,4,1,5,2,5000,395
Plot  Area,Ready To Move,Babusapalaya,6,1,5,2,810,95
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,1,2,3,1200,42
Super built-up  Area,Ready To Move,Kasavanhalli,3,1,3,2,1555,82.5
Plot  Area,Ready To Move,KR Puram,2,1,2,1,1550,71
Super built-up  Area,Ready To Move,Whitefield,2,1,2,2,1190,67
Built-up  Area,Ready To Move,Chikkalasandra,2,1,2,2,1070,50
Super built-up  Area,Ready To Move,Jalahalli East,2,1,2,1,1020,42.48
Super built-up  Area,Ready To Move,Yelahanka,3,1,3,1,1610,115
Super built-up  Area,Ready To Move,Prestige Sunrise,1,1,1,1,700,41
Super built-up  Area,Ready To Move,Akshaya Vana,3,1,2,1,1300,49
Super built-up  Area,Ready To Move,Hebbal,2,1,2,1,1420,123
Plot  Area,Ready To Move,Vidyaranyapura,9,1,9,2,1200,100
Carpet  Area,18-Dec,Hebbal,3,1,3,2,1069,65.4
Super built-up  Area,Ready To Move,Marathahalli,3,1,3,3,1900,123
Super built-up  Area,18-May,Old Airport Road,2,1,2,1,1655,97.65
Super built-up  Area,Ready To Move,Uttarahalli,2,1,2,2,1155,40.42
Built-up  Area,Ready To Move,Sarjapur  Road,3,1,2,2,1300,70
Super built-up  Area,Ready To Move,Electronic City,2,1,2,2,1100,45
Super built-up  Area,Ready To Move,Doddathoguru,2,1,2,2,1030,42
Super built-up  Area,Ready To Move,Vittasandra,2,1,2,1,2105,70.2
Built-up  Area,Ready To Move,Bhoganhalli,3,1,3,2,1700,126
Super built-up  Area,Ready To Move,Jakkur,3,1,3,2,1760,139
Built-up  Area,Ready To Move,Kadugodi,9,1,9,0,6200,200
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2,1,2,1,1400,67
Super built-up  Area,Ready To Move,Srigandada Kaval,2,1,2,0,1200,53
Built-up  Area,Ready To Move,Bannerghatta Road,2,1,2,1,912,55
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1102,48
Super built-up  Area,Ready To Move,Channasandra Layout,3,1,3,1,1535,55
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,2,1243,46
Super built-up  Area,Ready To Move,Jigani,2,1,2,2,918,63.2
Super built-up  Area,Ready To Move,Begur Road,3,1,2,3,1500,70
Plot  Area,Ready To Move,Mathikere Extension,3,1,3,0,3000,250
Super built-up  Area,Ready To Move,Kasavanhalli,3,1,3,0,1476,89
Super built-up  Area,18-Apr,Mysore Road,2,1,2,3,1200,65
Super built-up  Area,21-Jun,Vijayanagar,1,1,1,0,606,34.78
Super built-up  Area,Ready To Move,Viswajit Layout,2,1,2,3,1100,61
Super built-up  Area,Ready To Move,Garudachar Palya,3,1,2,1,1295,59.5
Built-up  Area,Ready To Move,Neeladri Nagar,1,1,1,0,527,26
Super built-up  Area,Ready To Move,OMBR Layout,2,1,2,2,1300,80
Plot  Area,Ready To Move,Bommanahalli,3,1,4,1,680,68
Plot  Area,Ready To Move,Adityanagar,1,1,1,0,1260,41
Built-up  Area,Ready To Move,Koramangala,2,1,2,1,1140,75.2
Plot  Area,Ready To Move,BDS Layout,1,1,1,0,1500,37.5
Super built-up  Area,18-Dec,Whitefield,3,1,4,1,2321,128
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,2,1390,62
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,3,1725,90
Super built-up  Area,18-May,Hebbal,4,1,4,1,3067,310
Super built-up  Area,18-Mar,Hennur Road,3,1,2,1,1186,63
Super built-up  Area,18-Dec,Kanakpura Road,2,1,2,1,1230,85
Built-up  Area,Ready To Move, Mysore Highway,1,1,1,1,600,17
Super built-up  Area,18-Dec,Yeshwanthpur,3,1,3,1,1313,96
Plot  Area,Ready To Move,TC Palaya,2,1,2,0,900,55
Super built-up  Area,Ready To Move,Ambalipura,2,1,2,2,1250,66.25
Plot  Area,Ready To Move,HBR Layout,9,1,6,3,1200,280
Super built-up  Area,19-Dec,Binny Pete,1,1,1,1,660,54
Super built-up  Area,Ready To Move,Basavangudi,2,1,2,2,1036,105
Built-up  Area,Ready To Move,Koramangala,4,1,4,3,2700,450
Super built-up  Area,Ready To Move,Old Madras Road,2,1,2,1,1100,70
Plot  Area,Ready To Move,BTM 2nd Stage,4,1,2,1,1500,450
Plot  Area,Ready To Move,Singasandra,4,1,5,2,525,56
Built-up  Area,Ready To Move,Electronics City Phase 1,2,1,2,1,1015,56
Plot  Area,Ready To Move,Gottigere,1,1,1,0,812,26
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3,1,2,2,1360,65
Super built-up  Area,Ready To Move,Nehru Nagar,3,1,3,3,2167,170
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1200,35
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2,1,2,2,1165,75
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,1,2,2,1274,70
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1151,39.02
Plot  Area,Ready To Move,Vidyaranyapura,6,1,6,3,1060,110
Super built-up  Area,Ready To Move,Thubarahalli,3,1,2,2,1626,120
Super built-up  Area,Ready To Move,Banashankari Stage V,2,1,2,2,1035,35.77
Plot  Area,Ready To Move,Shanthi Layout,3,1,4,0,1272,75
Built-up  Area,Ready To Move,Jeevan bima nagar,2,1,2,1,965,45
Plot  Area,Ready To Move,Esther Enclave Layout,5,1,5,2,1600,140
Super built-up  Area,Ready To Move,Kothannur,2,1,2,1,1070,42.79
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,2,2,1570,65
Built-up  Area,Ready To Move,Volagerekallahalli,2,1,2,2,1053,38
Super built-up  Area,Ready To Move,Keerthi Layout,2,1,2,2,780,25
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3,1,2,1,1000,65
Plot  Area,Ready To Move,9th Phase JP Nagar,4,1,3,2,1200,188
Built-up  Area,Ready To Move,Tindlu,7,1,7,2,7500,400
Built-up  Area,Ready To Move,5th Phase JP Nagar,3,1,2,3,1700,100
Super built-up  Area,Ready To Move,Haralur Road,3,1,3,2,1850,110
Built-up  Area,Ready To Move,Kereguddadahalli,2,1,2,1,904,30
Super built-up  Area,Ready To Move,Shikaripalya,2,1,2,1,1121,43.72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,2,2,1385,58.17
Super built-up  Area,Ready To Move,Sahakara Nagar,2,1,2,1,1270,69.85
Super built-up  Area,Ready To Move,Kanakpura Road,3,1,3,3,1450,56
Plot  Area,Ready To Move,Huttanahalli,3,1,4,2,2400,325
Super built-up  Area,Ready To Move,Mahadevpura,1,1,1,1,730,35
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,3,3,1580,53.56
Super built-up  Area,Ready To Move,Thanisandra,2,1,2,1,1111,50
Plot  Area,Ready To Move,Kengeri,4,1,2,1,1125,88
Super built-up  Area,Ready To Move,Varthur,2,1,2,2,977,36
Super built-up  Area,18-Dec,Gunjur Palya,2,1,1,1,674,19.9
Plot  Area,18-Apr,Nagarbhavi,3,1,3,1,600,83
Plot  Area,Ready To Move,Sarjapur,4,1,4,1,2540,115
Super built-up  Area,17-Dec,Jakkur,2,1,2,1,1290,100
Plot  Area,Ready To Move,Kumaraswami Layout,3,1,3,1,600,98
Super built-up  Area,Ready To Move,Abbigere,2,1,2,1,795,32.54
Super built-up  Area,20-Dec,Kanakpura Road,2,1,1,1,700,35
Built-up  Area,Ready To Move,Ambedkar Colony,2,1,1,1,1463,142
Built-up  Area,Ready To Move,Vijayanagar,3,1,3,0,1000,140
Super built-up  Area,Ready To Move,Reliable Woods Layout,3,1,2,2,1306,58
Super built-up  Area,Ready To Move,4th T block Jayanagar,3,1,3,2,2401,185
Plot  Area,Ready To Move,Bommenahalli,4,1,3,0,1670,135
Built-up  Area,Ready To Move,Jayanagar,3,1,2,3,1875,235
Plot  Area,Ready To Move,Marsur,3,1,3,1,1200,90
Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1,3,2,1804,121
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,1,4,1,2065,210
Super built-up  Area,Ready To Move,Hoskote,3,1,3,1,1225,40
Super built-up  Area,18-Nov,Thanisandra,2,1,2,0,1185.5,58.68
Super built-up  Area,Ready To Move,Bellandur,2,1,2,2,900,56
Super built-up  Area,19-Dec,Binny Pete,2,1,2,1,1350,91
Super built-up  Area,Ready To Move,Kaggalipura,1,1,1,0,700,36
Super built-up  Area,18-Jun,Mysore Road,2,1,2,0,1005,35.175
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,1,2,1,1160,46.39
Super built-up  Area,Ready To Move,Hennur Road,3,1,3,2,1680,99.27
Carpet  Area,Ready To Move,LB Shastri Nagar,2,1,2,2,1043,55
Plot  Area,Ready To Move,Hoskote,4,1,4,1,1200,120
Super built-up  Area,Ready To Move,Hebbal,2,1,2,2,1040,46
Super built-up  Area,Ready To Move,Tindlu,3,1,2,2,1357,65
Plot  Area,Ready To Move,Nayandanahalli,7,1,7,1,1600,104
Super built-up  Area,18-Aug,Vibhutipura Extension,2,1,2,2,1225,47
Plot  Area,Ready To Move,Sunkadakatte,9,1,6,1,1500,80
Super built-up  Area,Ready To Move,Yelachenahalli,2,1,2,2,1130,40
Built-up  Area,Ready To Move,Basavangudi,4,1,4,1,2500,150
Carpet  Area,Ready To Move,Sultan Palaya,3,1,3,3,1700,120
Super built-up  Area,Ready To Move,Doddathoguru,3,1,3,2,1549,65
Super built-up  Area,Ready To Move,Yeshwanthpur,2,1,2,2,1400,100
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1,2,2,1080,50
Built-up  Area,Ready To Move,Ulsoor,2,1,2,2,1180,100
Plot  Area,Ready To Move,Chandra Layout,7,1,7,3,780,150
Super built-up  Area,Ready To Move,Domlur,3,1,3,2,1800,150
Super built-up  Area,18-Aug,Haralur Road,2,1,2,1,1225,67.38
Built-up  Area,Ready To Move,Chandra Layout,1,1,1,1,890,75
Super built-up  Area,Ready To Move,Abbigere,2,1,2,1,1005,39.59
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1320,95
Built-up  Area,Ready To Move,Anandapura,4,1,2,1,1475,50
Super built-up  Area,18-Dec,Kudlu Gate,3,1,3,2,1707,99.745
Super built-up  Area,Ready To Move,Hagadur,2,1,2,2,1110,51
Plot  Area,18-Apr,Popular Colony,2,1,2,0,1300,54
Plot  Area,Ready To Move,Vajarahalli,5,1,3,1,600,86
Super built-up  Area,18-Aug,Electronic City,2,1,2,1,1128,65.35
Super built-up  Area,22-May,Jakkur,2,1,2,1,1452.19,100
Plot  Area,Ready To Move,8th block Koramangala,3,1,3,2,2400,290
Super built-up  Area,18-Jul,Banashankari,3,1,4,1,2600,135
Super built-up  Area,Ready To Move,Sarakki Nagar,3,1,4,2,2500,325
Built-up  Area,Ready To Move,Sanjay nagar,2,1,1,1,630,35
Super built-up  Area,Ready To Move,Hosa Road,2,1,2,2,1243,48.5
Built-up  Area,Ready To Move,Soundarya Layout,2,1,2,2,960,32
Super built-up  Area,Ready To Move,"Banashankari 6th Stage ,Subramanyapura",3,1,3,2,1690,100
Built-up  Area,Ready To Move,Whitefield,2,1,2,1,735,35
Super built-up  Area,Ready To Move,Banaswadi,2,1,2,2,1365,73
Super built-up  Area,Ready To Move,Rajaji Nagar,5,1,5,0,2849,300
Super built-up  Area,Ready To Move,Hebbal,2,1,2,1,1420,99.39
Super built-up  Area,Ready To Move,Somasundara Palya,3,1,3,3,1570,68
Super built-up  Area,Ready To Move,Bisuvanahalli,2,1,1,1,850,32
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,2,2,1575,110
Super built-up  Area,Ready To Move,Thigalarapalya,2,1,2,2,1418,104
Super built-up  Area,Ready To Move,Uttarahalli,2,1,2,1,1050,42
Super built-up  Area,Ready To Move,Hennur Road,2,1,2,1,1065,42.6
Built-up  Area,Ready To Move,Ulsoor,3,1,3,0,1340,90
Super built-up  Area,Ready To Move,Yelahanka New Town,3,1,3,2,1610,92
Built-up  Area,18-Aug,Electronic City Phase II,2,1,2,1,1160,33.5
Super built-up  Area,Ready To Move,Kudlu,2,1,2,2,1092,44
Super built-up  Area,Ready To Move,Parappana Agrahara,2,1,2,2,1194,47
Super built-up  Area,Ready To Move,Yelahanka,3,1,3,1,1455,61.5
Super built-up  Area,18-Jun,Abbigere,1,1,1,0,734,19.82
Built-up  Area,Ready To Move,Samethanahalli,2,1,2,1,799,38
Built-up  Area,Ready To Move,Whitefield,3,1,3,1,1896,75
Super built-up  Area,Ready To Move,Ardendale,2,1,2,1,1100,48
Built-up  Area,Ready To Move,Bellandur,2,1,2,1,1350,79
Super built-up  Area,Ready To Move,Amarjyothi Colony,3,1,3,1,1355,61
Super built-up  Area,18-Apr,Electronic City,2,1,2,1,1128,65
Plot  Area,Ready To Move,Pattanagere,2,1,2,0,1350,90
Super built-up  Area,Ready To Move,Cunningham Road,3,1,3,2,3875,864
Super built-up  Area,Ready To Move,Kasavanhalli,3,1,3,2,1493,82
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,1,2,1,1098,43.91
Super built-up  Area,Ready To Move,Banashankari,3,1,2,1,1900,170
Super built-up  Area,Ready To Move,Dollars Layout,3,1,3,2,1460,88
Super built-up  Area,Ready To Move,Frazer Town,3,1,4,3,2350,285
Plot  Area,Ready To Move,Horamavu Banaswadi,5,1,5,3,1600,140
Super built-up  Area,Ready To Move,Varthur,2,1,2,1,1091,32
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,3,1180,42
Super built-up  Area,19-Dec,Kanakpura Road,2,1,3,1,1366,76.85
Super built-up  Area,Ready To Move,RMV Extension,3,1,3,2,1685,95
Built-up  Area,Ready To Move,Koramangala,2,1,2,3,1260,100
Plot  Area,Ready To Move,Whitefield,3,1,3,2,3010,200
Plot  Area,Ready To Move,Ramamurthy Nagar,3,1,4,1,1330,140
Plot  Area,Ready To Move,Mallasandra,2,1,2,0,1200,130
Super built-up  Area,18-Apr,Whitefield,2,1,2,1,1346,96.17
Super built-up  Area,18-Aug,Chandapura,1,1,1,0,630,13.86
Super built-up  Area,19-May,Sarjapur  Road,3,1,3,2,1476,98.94
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,3,2,1850,140
Plot  Area,Ready To Move,Frazer Town,5,1,2,0,2350,423
Super built-up  Area,Ready To Move,Electronic City,2,1,1,1,755,34
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,5,1,5,2,800,98
Super built-up  Area,Ready To Move,Parappana Agrahara,2,1,2,2,1194,46
Super built-up  Area,18-Feb,Whitefield,3,1,5,2,3850,316
Super built-up  Area,18-Jul,Hebbal,4,1,4,2,4235,365
Plot  Area,18-Apr,Kurubarahalli,1,1,1,0,800,52
Super built-up  Area,Ready To Move,Rachenahalli,3,1,3,1,2250,195
Super built-up  Area,Ready To Move,Vijayanagar,2,1,2,2,1352,68
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,2,2002,112
Plot  Area,Ready To Move,Bileshivale,4,1,5,1,4000,280
Built-up  Area,Ready To Move,Kaval Byrasandra,2,1,2,2,1060,45
Super built-up  Area,Ready To Move,Kanakpura Road,3,1,2,1,1419.59,59
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1196,51.15
Built-up  Area,18-Dec,Electronic City,3,1,2,2,1220,35.24
Super built-up  Area,18-Apr,Electronics City Phase 1,3,1,3,2,1595,75
Super built-up  Area,Ready To Move,Banashankari,2,1,2,3,1260,75
Super built-up  Area,Ready To Move,Hebbal,2,1,2,2,1100,47
Super built-up  Area,Ready To Move,Frazer Town,2,1,2,2,1550,140
Super built-up  Area,Ready To Move,ISRO Layout,2,1,2,3,1180,52
Plot  Area,18-Dec,Electronic City,4,1,5,1,4000,150
Built-up  Area,Ready To Move,Akshaya Nagar,3,1,3,2,1662,85
Super built-up  Area,Ready To Move,Hennur,2,1,2,1,1285,60
Plot  Area,Ready To Move,Akshaya Nagar,4,1,4,1,1080,75
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1,3,2,1862,119
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1419,48
Built-up  Area,14-Nov,Whitefield,3,1,3,2,1410,43.71
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,2,2,1560,62.4
Plot  Area,Ready To Move,Chikkabettahalli,5,1,4,3,1100,150
Super built-up  Area,19-Nov,Thanisandra,3,1,3,3,1634,78
Plot  Area,Ready To Move,Ambedkar Nagar,5,1,5,3,5530,627
Built-up  Area,Ready To Move,Whitefield,3,1,2,3,1150,44
Super built-up  Area,18-May,Ashirvad Colony,2,1,2,2,1100,53
Super built-up  Area,19-Mar,Yelahanka,3,1,3,1,1616,65
Super built-up  Area,17-Dec,Nagavarapalya,2,1,2,1,1392,99
Super built-up  Area,19-Dec,Jakkur,3,1,3,1,1798,120
Super built-up  Area,Ready To Move,Babusapalaya,3,1,3,3,1675,75
Plot  Area,Ready To Move,Bhuvaneswari Nagar,2,1,2,1,792,70
Super built-up  Area,Ready To Move,Varanasi,5,1,4,1,2000,103
Built-up  Area,Ready To Move,Hongasandra,7,1,7,3,600,89
Super built-up  Area,19-Jun,Hebbal,3,1,3,2,1700,124
Super built-up  Area,Ready To Move,Hulimavu,2,1,2,1,1248,69
Built-up  Area,Ready To Move,Kalkere,2,1,2,1,1147,54
Super built-up  Area,Ready To Move,Sultan Palaya,2,1,2,2,1100,40
Super built-up  Area,Ready To Move,Vijayanagar,3,1,3,2,1527,115
Plot  Area,Ready To Move,Shantiniketan Layout,5,1,5,2,2400,235
Super built-up  Area,21-Dec,Kanakpura Road,1,1,1,1,525,25
Super built-up  Area,Ready To Move,Kaggadasapura,2,1,2,3,1100,58
Super built-up  Area,17-Dec,Seegehalli,2,1,2,2,1118,37.5
Super built-up  Area,20-Dec,Kanakapura,3,1,3,1,1476,75
Built-up  Area,Ready To Move,Gopal Reddy Layout,3,1,3,1,2100,75
Super built-up  Area,18-Apr,Roopena Agrahara,3,1,2,2,1215,46.5
Super built-up  Area,Ready To Move,Ambalipura,2,1,2,1,1332,79
Super built-up  Area,Ready To Move,Hennur Road,2,1,2,3,1350,49
Plot  Area,Ready To Move,Kothannur,4,1,4,1,600,81
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,2,1243,46
Super built-up  Area,Ready To Move,NGR Layout,2,1,2,2,1105,49.73
Plot  Area,Ready To Move,Padmanabhanagar,3,1,2,1,1500,200
Super built-up  Area,Ready To Move,Kasavanhalli,2,1,2,2,1200,50
Super built-up  Area,18-Jun,Ramagondanahalli,2,1,2,1,1251,47.4
Super built-up  Area,Ready To Move,Kambipura,2,1,2,1,883,45
Super built-up  Area,Ready To Move,Pai Layout,3,1,2,3,1400,67
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1,3,3,1800,260
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,3,2,1703,113
Super built-up  Area,Ready To Move,NRI Layout,5,1,5,3,2500,130
Super built-up  Area,Ready To Move,Varthur,3,1,3,2,1250,71
Super built-up  Area,Ready To Move,Jigani,2,1,2,2,933,43
Plot  Area,Ready To Move,sankeswari,1,1,1,1,461.82,31.7
Super built-up  Area,Ready To Move,Brookefield,2,1,2,1,1262,75
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,2,915,48
Super built-up  Area,Ready To Move,Panathur,3,1,2,2,1370,61.5
Super built-up  Area,Ready To Move,Malleshpalya,2,1,2,3,1210,55
Super built-up  Area,Ready To Move,Kodihalli,3,1,4,2,2392,260
Plot  Area,18-Feb,T c palya,3,1,2,0,1500,85
Super built-up  Area,Ready To Move,Govindraja Nagar,2,1,2,3,1065,50
Super built-up  Area,Ready To Move,Rajaji Nagar,4,1,4,2,3100,570
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3,1,3,3,1515,65
Plot  Area,19-Dec,Sarjapura - Attibele Road,4,1,4,2,1800,110
Super built-up  Area,Ready To Move,Thanisandra,3,1,2,3,1445,40.31
Super built-up  Area,Ready To Move,Uttarahalli,3,1,2,1,1300,55
Built-up  Area,Ready To Move,Vijayanagar,2,1,2,0,989,60
Super built-up  Area,Ready To Move,Jakkur,2,1,2,1,1300,85
Super built-up  Area,18-Jul,Chandapura,3,1,2,2,1185,30.22
Plot  Area,Ready To Move,Battarahalli,5,1,3,1,1350,110
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,3,1045,60
Super built-up  Area,18-Feb,Virat Nagar,2,1,2,2,1205,42.18
Super built-up  Area,Ready To Move,Chennammanakere Achukattu,2,1,2,1,1260,75
Plot  Area,Ready To Move,Devanahalli Road,5,1,5,2,1320,199
Super built-up  Area,Ready To Move,Ulsoor,3,1,2,2,1500,125
Super built-up  Area,18-May,Bommanahalli,3,1,2,2,1250,42.5
Built-up  Area,18-Jul,"Maragondana Halli, kr puram, old madras road",2,1,2,2,1199,50
Super built-up  Area,Ready To Move,Hennur Road,2,1,2,1,1385,83.09
Plot  Area,Ready To Move,Dhanalakshmi Layout,6,1,5,3,1222,250
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1,2,1,1149,75
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,2,2180,170
Plot  Area,Ready To Move,TC Palaya,8,1,7,1,1200,110
Super built-up  Area,Ready To Move,Jp nagar 8th Phase .,10,1,12,3,12000,525
Plot  Area,Ready To Move,Thurahalli,5,1,5,0,1200,195
Super built-up  Area,Ready To Move,Hulimavu,3,1,3,1,1818,135
Super built-up  Area,Ready To Move,Volagerekallahalli,2,1,2,2,1070,33
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1,3,2,1640,241
Built-up  Area,Ready To Move,Nagarbhavi,3,1,2,2,1350,54.6
Built-up  Area,Ready To Move,Chandapura,2,1,1,1,630,27
Super built-up  Area,22-Jun,Hoodi,2,1,2,2,1430,113
Super built-up  Area,Ready To Move,Nagavara,3,1,4,3,2430,180
Plot  Area,Ready To Move,Nobo Nagar,6,1,7,3,1500,220
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,3,1084,55
Super built-up  Area,Ready To Move,Hennur Road,3,1,2,1,1186,56
Built-up  Area,Ready To Move,Kengeri,2,1,2,2,1255,50
Super built-up  Area,Ready To Move,Haralur Road,4,1,5,3,3400,240
Super built-up  Area,18-Dec,Hosa Road,3,1,3,1,1541,69.84
Super built-up  Area,Ready To Move,Iblur Village,4,1,5,1,3596,282
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1295,70
Plot  Area,Ready To Move,Kasavanhalli,3,1,4,3,1000,110
Built-up  Area,Ready To Move,Sanjeevini Nagar,3,1,3,2,2820,285
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,2,2,1370,54.79
Super built-up  Area,Ready To Move,Electronic City,2,1,2,1,1100,40
Super built-up  Area,18-Apr,Hebbal,4,1,6,2,4772,510
Super built-up  Area,Ready To Move,Rajaji Nagar,2,1,2,1,1370,170
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,2,1,1370,54.79
Super built-up  Area,Ready To Move,JP Nagar,2,1,2,2,1200,62
Plot  Area,Ready To Move,Gunjur,4,1,3,0,2000,95
Built-up  Area,Ready To Move,9th Phase JP Nagar,4,1,4,2,3500,300
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,1,4,3,1200,240
Plot  Area,Ready To Move,Kengeri,4,1,5,2,2400,253
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,2,1220,62
Built-up  Area,Ready To Move,Kanakapura Road,3,1,3,2,1950,130
Super built-up  Area,Ready To Move,Somasundara Palya,2,1,2,3,1178,73
Super built-up  Area,Ready To Move,Dasanapura,3,1,3,2,1286,61.44
Super built-up  Area,Ready To Move,Begur Road,2,1,2,2,1160,42
Super built-up  Area,Ready To Move,Jigani,2,1,2,2,918,55
Super built-up  Area,21-Dec,Electronic City,3,1,3,2,1563,91.84
Super built-up  Area,18-Nov,Govindpura,2,1,2,1,1326,62.17
Super built-up  Area,Ready To Move,3rd Block Jayanagar,3,1,2,2,1350,140
Super built-up  Area,17-Dec,Hebbal,4,1,5,3,3960,386
Super built-up  Area,Ready To Move,Begur Road,2,1,2,2,1240,39.06
Super built-up  Area,Ready To Move,Kaggadasapura,2,1,2,2,1325,50
Super built-up  Area,Ready To Move,Sonnenahalli,2,1,2,1,1100,44
Super built-up  Area,Ready To Move,Cunningham Road,3,1,3,2,3875,800
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3,1,3,2,1605,50
Super built-up  Area,Ready To Move,Hennur Road,5,1,5,3,5600,515
Super built-up  Area,Ready To Move,Somasundara Palya,2,1,2,1,1260,60
Super built-up  Area,19-Dec,Hoodi,3,1,3,2,1553,83.09
Super built-up  Area,Ready To Move,Whitefield,2,1,2,2,1280,52
Super built-up  Area,Ready To Move,Hebbal,3,1,2,2,1550,75
Super built-up  Area,Ready To Move,Arekere,3,1,2,2,1445,125
Super built-up  Area,Ready To Move,Murugeshpalya,3,1,3,2,1550,74
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1,2,1,1515,80.91
Super built-up  Area,19-Mar,Hosa Road,3,1,2,1,1332,86.12
Super built-up  Area,Ready To Move,Electronic City,3,1,3,2,1652,70
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,3,1,1570,105
Plot  Area,Ready To Move,Sarjapur  Road,4,1,4,3,5400,725
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1,1,1,1,794,60
Plot  Area,Ready To Move,Seegehalli,3,1,2,0,1200,62
Built-up  Area,Ready To Move,7th Phase JP Nagar,4,1,3,2,3600,410
Plot  Area,Ready To Move,Hosakerehalli,3,1,3,2,1200,175
Super built-up  Area,Ready To Move,JP Nagar,4,1,3,1,1650,220
Plot  Area,Ready To Move,Chandra Layout,4,1,2,1,600,85
Super built-up  Area,Ready To Move,HRBR Layout,3,1,3,2,2800,250
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,2,1750,110
Built-up  Area,Ready To Move,Hebbal,2,1,2,1,1053,48
Super built-up  Area,21-Dec,Kanakpura Road,3,1,3,2,1100,53
Super built-up  Area,Ready To Move,Kadubeesanahalli,3,1,3,3,1665,70
Plot  Area,Ready To Move,Outer Ring Road East,4,1,4,3,4051,345
Plot  Area,Ready To Move,Malleshwaram,4,1,5,1,5500,1500
Built-up  Area,Ready To Move,Bommasandra,3,1,3,2,1447,80
Built-up  Area,Ready To Move,Balagere,2,1,2,1,1012,75
Super built-up  Area,Ready To Move,Malleshpalya,3,1,3,2,1900,60
Super built-up  Area,Ready To Move,Narayanapura,2,1,2,2,1308,92.66
Super built-up  Area,Ready To Move,Green Glen Layout,4,1,4,2,3250,230
Super built-up  Area,Ready To Move,Hormavu,1,1,2,1,1351,53
Super built-up  Area,Ready To Move,Electronic City,2,1,2,2,1000,22
Plot  Area,Ready To Move,J P Nagar 7th Phase Ramayya City,4,1,4,2,1200,350
Super built-up  Area,18-Aug,Gunjur,2,1,2,2,1140,49.11
Super built-up  Area,22-May,Jakkur,4,1,4,0,3181,260.5
